DEPTH	SECONDS	TPC_OUT	IN	OUT	MEAN_I
1	4233600	99.999483	15460994	15460914	98
1	4262400	99.999497	15493741	15493663	98
1	4291200	99.999551	15577258	15577188	98
1	4320000	99.999580	15706181	15706115	98
1	4377600	99.999526	15824901	15824826	98
1	4406400	99.999536	15949061	15948987	98
1	4435200	99.999606	15981711	15981648	98
1	4464000	99.999577	16063145	16063077	98
1	4492800	99.999604	16174895	16174831	98
1	4521600	99.999574	16209740	16209671	98
1	4550400	99.999558	16307064	16306992	98
1	4608000	99.999386	16461271	16461170	98
1	4636800	99.999529	16562332	16562254	98
1	4694400	99.999540	16729540	16729463	98
1	4723200	99.999596	16816025	16815957	98
1	4752000	99.999552	16954490	16954414	98
1	4780800	99.999582	16988236	16988165	98
1	4809600	99.999578	17071140	17071068	98
1	4838400	99.999616	17208137	17208071	98
1	4867200	99.999571	17240123	17240049	98
1	4896000	99.999509	17322616	17322531	98
1	4924800	99.999582	17453103	17453030	98
1	4982400	99.999613	17561177	17561109	98
1	5011200	99.999666	17684755	17684696	98
1	5068800	99.999567	17789790	17789713	98
1	5097600	99.999514	17897179	17897092	98
1	5126400	99.999649	17930575	17930512	98
1	5184000	99.999570	18129804	18129726	98
1	5212800	99.999565	18163345	18163266	98
1	5241600	99.999617	18258529	18258459	98
1	5270400	99.999592	18391676	18391601	98
1	5299200	99.999609	18423286	18423214	98
1	5328000	99.999649	18507462	18507397	98
1	5356800	99.999576	18642388	18642309	98
1	5414400	99.999558	18759526	18759443	98
1	5443200	99.999571	18894389	18894308	98
1	5500800	99.999637	19014767	19014698	98
1	5529600	99.999515	19184361	19184268	98
1	5558400	99.999558	19228118	19228033	98
1	5587200	99.999576	19329441	19329359	98
1	5616000	99.999646	19492829	19492760	98
1	5644800	99.999621	19535944	19535870	98
1	5673600	99.999577	19634835	19634752	98
1	5702400	99.999656	19776957	19776889	98
1	5731200	99.999475	19821799	19821695	98
1	5760000	99.999629	19934668	19934594	98
1	5788800	99.999666	20076782	20076715	98
1	5846400	99.999659	20248532	20248463	98
1	5875200	99.999677	20421956	20421890	98
1	5932800	99.999679	20577788	20577722	98
1	5961600	99.999663	20758884	20758814	98
1	6019200	99.999727	20913508	20913451	98
1	6048000	99.999687	21089268	21089202	98
1	6076800	99.999650	21134041	21133967	98
1	6105600	99.999656	21244396	21244323	98
1	6134400	99.999636	21417001	21416923	98
1	6192000	99.999675	21571310	21571240	98
1	6220800	99.999669	21746172	21746100	98
1	6249600	99.999656	21797909	21797834	98
1	6278400	99.999644	21901332	21901254	98
1	6307200	99.999628	22045706	22045624	98
1	6336000	99.999651	22090358	22090281	98
1	6364800	99.999662	22206160	22206085	98
1	6393600	99.999714	22350148	22350084	98
1	6422400	99.999732	22395218	22395158	98
1	6451200	99.999720	22511831	22511768	98
1	6480000	99.999713	22675574	22675509	98
1	6537600	99.999658	22833863	22833785	98
1	6566400	99.999718	23018373	23018308	98
1	6624000	99.999767	23145971	23145917	98
1	6652800	99.999729	23289702	23289639	98
1	6768000	99.999696	23331500	23331429	98
1	6796800	99.999714	23431099	23431032	98
1	6825600	99.999618	23581627	23581537	98
1	6883200	99.999654	23719140	23719058	98
1	6912000	99.999765	23853059	23853003	98
1	6969600	99.999704	24002230	24002159	98
1	7027200	99.999677	24169965	24169887	98
1	7056000	99.999654	24283789	24283705	98
1	7084800	99.999669	24446832	24446751	98
1	7113600	99.999718	24487733	24487664	98
1	7142400	99.999630	24594023	24593932	98
1	7171200	99.999746	24762966	24762903	98
1	7200000	99.999686	24815507	24815429	98
1	7228800	99.999771	24916488	24916431	98
1	7257600	99.999673	25075337	25075255	98
1	7286400	99.999685	25117046	25116967	98
1	7315200	99.999695	25213196	25213119	98
1	7344000	99.999736	25358785	25358718	98
1	7401600	99.999682	25496025	25495944	98
1	7430400	99.999680	25636848	25636766	98
1	7488000	99.999756	25770062	25769999	98
1	7516800	99.999768	25897324	25897264	98
1	7603200	99.999687	26156903	26156821	98
1	7632000	99.999687	26195070	26194988	98
1	7660800	99.999711	26285010	26284934	98
1	7689600	99.999739	26402800	26402731	98
1	7718400	99.999667	26443548	26443460	98
1	7747200	99.999759	26557279	26557215	98
1	7776000	99.999760	26704412	26704348	98
1	7804800	99.999731	26743664	26743592	98
