ALGORITHM	K_I	DEPTH	K_F	MEM_PROC	MEM_DATA	PROFILES	LOGS	LOGS_OUT	TIME	LOG_TIME	MATCH	TPC_MATCH
AF	130	7	139.119827	294860110	0	0	27029900	0	363.723747287	1.345635e-05	52274	0.193393
AA	130	7	130.973679	290632501	0	0	27029900	27027133	384.207964541	1.421418e-05	45757	0.169283
SA1	130	9	130.143616	54298189	0	0	27241515	27029581	448.383540983	1.645957e-05	0	0
AF	130	9	140.318405	294857669	0	0	27029581	0	357.111963755	1.321189e-05	52657	0.194812
AA	130	9	130.842102	291548406	0	0	27029581	27026823	387.207224439	1.432531e-05	45911	0.169855
SA1	130	11	130.138702	54439206	0	0	27241515	27029795	446.477965055	1.638962e-05	0	0
AF	130	11	139.766235	294860132	0	0	27029795	0	356.58928243	1.319245e-05	52639	0.194744
AA	130	11	131.038956	288998433	0	0	27029795	27026979	382.737365686	1.415983e-05	46322	0.171374
SA1	150	1	244.125000	192965827	0	0	27241515	27237612	274.435531177	1.007417e-05	0	0
AF	150	1	217.312500	302341868	0	0	27237612	0	456.102823493	1.674533e-05	201962	0.741482
AA	150	1	217.437500	209486742	0	0	27237605	27234132	357.51580985	1.312582e-05	201962	0.741482
SA1	150	3	158.370209	143454945	0	0	27241515	27081389	602.210003386	2.210633e-05	0	0
AF	150	3	159.889236	295777913	0	0	27081389	0	378.053739052	1.395991e-05	40283	0.148748
AA	150	3	312.119049	306366391	0	0	27080357	27070035	550.718137949	2.033644e-05	38020	0.140397
SA1	150	5	150.237625	51406166	0	0	27241515	27026357	411.634474272	1.511056e-05	0	0
AF	150	5	163.661423	295336912	0	0	27026357	0	374.73644752	1.386559e-05	43368	0.160466
AA	150	5	152.765625	303107217	0	0	27026357	27023176	415.93018521	1.538980e-05	39333	0.145536
SA1	150	7	150.108383	53632057	0	0	27241515	27026437	448.67870284	1.647040e-05	0	0
AF	150	7	165.209305	295341194	0	0	27026437	0	374.219745418	1.384643e-05	46198	0.170936
AA	150	7	153.983871	303626978	0	0	27026437	27023079	418.332953668	1.547866e-05	41902	0.155041
SA1	150	9	150.094086	54925409	0	0	27241515	27026752	460.537964133	1.690574e-05	0	0
AF	150	9	162.671143	295342078	0	0	27026752	0	377.544110658	1.396927e-05	46563	0.172285
AA	150	9	153.301590	303101324	0	0	27026752	27023522	417.037532264	1.543055e-05	42616	0.157681
SA1	150	11	150.096466	55221571	0	0	27241515	27026651	463.408940545	1.701113e-05	0	0
AF	150	11	164.893936	295349427	0	0	27026651	0	371.004236693	1.372735e-05	46343	0.171471
AA	150	11	153.029419	303332057	0	0	27026651	27023338	417.540393683	1.544921e-05	42170	0.156031
SA1	170	1	280.500000	192825606	0	0	27241515	27237032	293.320746096	1.076742e-05	0	0
AF	170	1	244.937500	303228165	0	0	27237032	0	460.169437848	1.689499e-05	186045	0.683059
AA	170	1	244.937500	209290286	0	0	27237032	27233112	295.541369413	1.085072e-05	186045	0.683059
SA1	170	3	178.467560	150844742	0	0	27241515	27073240	645.580333345	2.369840e-05	0	0
AF	170	3	186.564651	296611170	0	0	27073240	0	392.75733746	1.450722e-05	35968	0.132854
AA	170	3	219.517242	310967763	0	0	27070818	27064031	581.420153293	2.147775e-05	34146	0.126136
SA1	170	5	170.186905	52392322	0	0	27241515	27023901	429.997862563	1.578465e-05	0	0
AF	170	5	185.712967	296171952	0	0	27023901	0	393.498614932	1.456113e-05	38957	0.144158
AA	170	5	176.698120	311097579	0	0	27023901	27020137	444.379669803	1.644395e-05	36247	0.134129
SA1	170	7	170.083939	54292902	0	0	27241515	27024120	463.132264169	1.700097e-05	0	0
AF	170	7	185.738312	296181745	0	0	27024120	0	397.598298394	1.471272e-05	41390	0.153159
AA	170	7	175.092590	311501363	0	0	27023787	27020106	572.215943713	2.117453e-05	38759	0.143425
SA1	170	9	170.074936	55449211	0	0	27241515	27023990	475.226785638	1.744495e-05	0	0
AF	170	9	185.303574	296181102	0	0	27023990	0	391.256663612	1.447812e-05	42601	0.157641
AA	170	9	174.660370	309376093	0	0	27023990	27020357	441.903560524	1.635227e-05	39493	0.146141
