attack	k_i	emd	calc_emd	max_emd	emd_tpc	k_f	mem_proc	mem_data	profiles	logs	time	log_time	tree_depth
SHU_A_EM	50	6.263786	284.305921	826.406482	34.402673	53.000000	82015508	0	600181.000000	27241515	344694046479	1.265326e-05	2
SHU_A_EM	50	4.416057	200.461727	827.208402	24.233522	56.000000	64022763	0	600115.000000	27241515	347676706353	1.276275e-05	3
SHU_A_EM	50	2.730948	123.980971	827.807603	14.977027	53.000000	48545690	0	600053.000000	27241515	356022320775	1.306911e-05	4
SHU_A_EM	50	1.613408	73.248417	827.848954	8.848041	52.000000	48621312	0	600036.000000	27241515	376071736022	1.380510e-05	5
SHU_A_EM	50	0.900098	40.864766	827.828742	4.936379	51.000000	49425706	0	600029.000000	27241515	386734210527	1.419650e-05	6
SHU_A_EM	50	0.437366	19.856412	827.792435	2.398719	51.000000	51142861	0	600033.000000	27241515	396482280478	1.455434e-05	7
SHU_A_EM	50	0.193137	8.768395	827.783357	1.059262	51.000000	51920061	0	600036.000000	27241515	408196692765	1.498436e-05	8
SHU_A_EM	50	0.066458	3.017206	827.816057	0.364478	51.000000	52500716	0	600028.000000	27241515	440462615200	1.616880e-05	9
SHU_A_EM	50	0.018878	0.857076	827.843795	0.103531	51.000000	52655257	0	600010.000000	27241515	457711662278	1.680199e-05	10
SHU_A_EM	50	0.003318	0.150621	827.828207	0.018195	51.000000	52707818	0	600011.000000	27241515	422489585446	1.550903e-05	11
SHU_A_EM	50	0.000234	0.010617	827.729794	0.001283	51.000000	52640830	0	600031.000000	27241515	434856643635	1.596301e-05	12
SHU_A_EM	50	0.000005	0.000241	827.853042	0.000029	51.000000	52667503	0	600007.000000	27241515	459953378542	1.688428e-05	13
SHU_A_EM	70	7.876964	357.526207	826.525372	43.256531	109.000000	103734378	0	600181.000000	27241515	154758643912	5.680985e-06	1
SHU_A_EM	70	6.267313	284.468407	826.446711	34.420659	74.000000	124997249	0	600176.000000	27241515	451727019077	1.658230e-05	2
SHU_A_EM	70	4.445770	201.813860	827.181353	24.397777	77.000000	87344128	0	600105.000000	27241515	445489227203	1.635332e-05	3
SHU_A_EM	70	2.759132	125.260281	827.545082	15.136370	73.000000	50931661	0	600054.000000	27241515	405137758000	1.487207e-05	4
SHU_A_EM	70	1.630562	74.029044	827.641833	8.944575	71.000000	49847138	0	600021.000000	27241515	422291285980	1.550175e-05	5
SHU_A_EM	70	0.908485	41.245591	827.551116	4.984054	71.000000	50679193	0	600028.000000	27241515	431868720598	1.585333e-05	6
SHU_A_EM	70	0.440555	20.001522	827.549993	2.416956	71.000000	52433690	0	600024.000000	27241515	443540882750	1.628180e-05	7
SHU_A_EM	70	0.193941	8.805088	827.449362	1.064124	71.000000	53210553	0	600022.000000	27241515	448668841159	1.647004e-05	8
SHU_A_EM	70	0.066386	3.013975	827.482218	0.364234	71.000000	53734503	0	600021.000000	27241515	453205427796	1.663657e-05	9
SHU_A_EM	70	0.018840	0.855339	827.423148	0.103374	71.000000	53887890	0	600026.000000	27241515	453161474495	1.663496e-05	10
SHU_A_EM	70	0.003271	0.148497	827.497179	0.017945	71.000000	54004263	0	600016.000000	27241515	452722976947	1.661886e-05	11
SHU_A_EM	70	0.000244	0.011068	827.560643	0.001337	71.000000	53911693	0	600039.000000	27241515	452613476919	1.661484e-05	12
SHU_A_EM	70	0.000003	0.000126	827.501531	0.000015	71.000000	53994142	0	600017.000000	27241515	456949536159	1.677401e-05	13
SHU_A_EM	90	7.878656	357.606582	826.463726	43.269483	143.000000	104024295	0	600175.000000	27241515	170225570650	6.248756e-06	1
SHU_A_EM	90	6.268184	284.508857	826.424376	34.426484	105.000000	155715912	0	600174.000000	27241515	560444640113	2.057318e-05	2
SHU_A_EM	90	4.467514	202.799910	827.027830	24.521534	98.000000	96449916	0	600108.000000	27241515	497853306542	1.827554e-05	3
SHU_A_EM	90	2.777366	126.085990	827.375897	15.239263	92.000000	51698587	0	600064.000000	27241515	431854553500	1.585281e-05	4
SHU_A_EM	90	1.639206	74.416645	827.292324	8.995206	91.000000	49700112	0	600060.000000	27241515	449286920924	1.649273e-05	5
SHU_A_EM	90	0.912466	41.425717	827.277008	5.007478	91.000000	50475765	0	600037.000000	27241515	459796175821	1.687851e-05	6
SHU_A_EM	90	0.442311	20.080385	827.286134	2.427260	91.000000	52252699	0	600049.000000	27241515	472303363507	1.733763e-05	7
SHU_A_EM	90	0.194642	8.836576	827.287910	1.068138	91.000000	53135916	0	600045.000000	27241515	476974947365	1.750912e-05	8
SHU_A_EM	90	0.066455	3.016892	827.193121	0.364714	91.000000	53596099	0	600062.000000	27241515	480488738531	1.763811e-05	9
SHU_A_EM	90	0.018841	0.855345	827.155133	0.103408	91.000000	53762964	0	600060.000000	27241515	480734957019	1.764714e-05	10
SHU_A_EM	90	0.003274	0.148624	827.148600	0.017968	91.000000	53843922	0	600068.000000	27241515	480890767767	1.765286e-05	11
SHU_A_EM	90	0.000239	0.010864	827.217482	0.001313	91.000000	53885144	0	600036.000000	27241515	481953027005	1.769186e-05	12
SHU_A_EM	90	0.000005	0.000207	827.219248	0.000025	91.000000	53890152	0	600061.000000	27241515	480872932322	1.765221e-05	13
